start	scanned	found	reads_with_adapter_scanned	reads_with_adapter_found
0	25502	24855	9038	8833
1	6597	6313	2208	2094
2	6770	6512	2995	2888
3	7229	6771	3675	3453
4	6747	6312	4816	4392
5	5824	5503	4245	3927
6	5954	5717	3781	3623
7	6105	5660	3644	3328
8	5523	5311	3468	3296
9	6728	6376	3837	3633
10	8067	7305	3762	3530
11	10500	9992	2549	2386
12	10504	9773	2173	1989
13	10268	9816	2152	2040
14	9005	8499	1748	1625
15	9321	8946	2294	2231
16	9070	8756	1750	1725
17	6648	6484	1524	1500
18	6983	6909	1374	1354
19	6908	6801	1576	1552
20	6432	6325	1348	1330
21	6895	6834	1504	1494
22	5124	5089	1134	1127
23	4383	4344	1246	1236
24	5333	5267	1354	1341
25	4517	4479	1275	1268
26	4572	4527	1396	1383
27	4808	4754	1169	1164
28	4441	25	1412	6
29	5216	12	1525	2
30	5210	17	1470	2
31	4753	13	1229	5
32	4605	36	1340	6
33	4374	87	1266	7
34	3895	33	1439	1
35	4172	49	1646	1
36	4299	7	1682	2
37	4043	10	2017	0
38	4486	15	1912	1
39	4979	11	1405	0
